label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec
unsqueeze,256,15859002,151707,6931415,438771,0.25057193452564924,0.3643074213518613,0.282935521096725,0.07744060840727685
unsqueeze,512,16836309,145762,6960195,486813,0.1826238618298426,0.1483213325883081,0.10373240192593376,0.19329161673071374
unsqueeze,1024,15650173,157762,6657208,468174,0.20109481400021245,0.3507311940212847,0.04959408000103499,0.3133394479056487
unsqueeze,2048,14277874,132699,5910779,339701,0.04245931790179556,0.05739661806108472,0.21506266021473966,0.23318637699940215
unsqueeze,4096,12536242,133614,6590116,514230,0.13382719903166698,0.04801615525826738,0.28282737356842247,0.4616878985383499
unsqueeze,8192,21321148,221862,7642366,605680,0.284358692943414,0.3001940260598882,0.1506969377082125,0.23839022026437862
add,64,17455681,129369,9946850,719012,0.17634393305946353,0.12903406958079253,0.10760890815686715,0.44286676768940997
add,128,14918789,161317,6789054,596593,0.20648680004571993,0.3858463440334492,0.17148798475976154,0.27208330171924655
add,256,16945697,271551,8564743,583733,0.2694590385957002,0.4923326693068286,0.4309238287946377,0.3159343378618258
add,512,14702303,421265,7657580,491309,0.09984375887763039,0.5142048079044833,0.1879499647211339,0.1952186941824052
add,1024,12704718,628706,7061986,483734,0.037757104199689084,0.09864521680945577,0.1464762920797987,0.2460461119583149
add,2048,12284240,2537401,6657256,485681,0.04040252376555332,0.11314681758096398,0.11149892069736626,0.21618275188409464
add,4096,12100334,10531702,6936377,587902,0.02824581290847061,0.06428562577713838,0.12861951172981323,0.18782865936978368
add,8192,43521682,39591614,6413421,523432,0.29455509954436854,0.010420943666517635,0.19339538589190494,0.18977591499291369
cast,64,16130503,133954,7267440,535907,0.3607287154914252,0.19159422880139246,0.14616435020718513,0.15692024341913985
cast,128,15195315,165736,7494237,636689,0.2234690978242444,0.2803004953100978,0.16783968040916875,0.08739062190345291
cast,256,14961824,159047,7106437,449452,0.2813486732793426,0.09157154758563722,0.08828876542831912,0.1915857418336127
cast,512,11610222,302938,6108883,507091,0.10168490814492534,0.2852354379697581,0.20878507289040737,0.33810505940134045
cast,1024,13541988,566949,7379633,664474,0.08821529976065536,0.1422633450037225,0.2640545026562272,0.5577093773026901
cast,2048,12645368,2040409,5730325,485524,0.14736599503517192,0.13930648631958797,0.05923605888201935,0.16851546723730568
cast,4096,11566991,9127064,6264427,474340,0.03720868754282522,0.13359563941839986,0.17161249461903164,0.13581710127131869
cast,8192,11848893,34510484,6810416,492075,0.014956161556193908,0.11479888896981931,0.07523173298723458,0.15616959270132005
mul,64,16159443,209354,9215721,619720,0.24534906368630777,0.3719616425177203,0.2544073474417318,0.39649419497054483
mul,128,15652230,138912,8597524,714655,0.1715323558305967,0.1451353671373751,0.4575864938972017,0.5290102154991264
mul,256,13200560,159528,7273796,650102,0.03965093458216078,0.08492496051269603,0.25018487866934536,0.3307583483895569
mul,512,13805461,260997,6987984,418781,0.15781159178787948,0.050717460385641434,0.30899791684134476,0.05515356839632827
mul,1024,12758584,649467,7832796,499010,0.06781508270604264,0.16756356864886954,0.07063835863068134,0.1446088888192818
mul,2048,12767536,2567344,6329547,457691,0.03776873137300309,0.11475791358420799,0.1538999055851631,0.1416323992075149
mul,4096,12339916,11382767,6402061,487878,0.020002955958452827,0.004632008642782432,0.1706816349078619,0.20920153271071149
mul,8192,12670523,40781042,6386286,451413,0.04742886357623373,0.06082555327235301,0.14562312096509986,0.15978465132402064
relu,64,13752888,158159,7114629,631905,0.1481549708888719,0.43300892026537274,0.2013640199375412,0.28013251257677807
relu,128,16866421,163151,8159655,493707,0.2451097478201536,0.2488825335423475,0.2667638168244283,0.20336229607126105
relu,256,15960746,283604,9580108,808143,0.17129507682555542,0.27314524739247764,0.33917260385727804,0.3531452891555583
relu,512,14995960,247335,6977869,474358,0.21377148367338977,0.20408751868442584,0.2357206140604917,0.043838075691843774
relu,1024,14181616,635222,8632824,714870,0.008208897177340755,0.00864908312669636,0.17477226030835538,0.2350854283425821
relu,2048,12746911,2022571,5924771,510637,0.13508565365518047,0.1339814659085435,0.18537997911058274,0.31002980908231953
relu,4096,12839299,8791355,6930031,523821,0.13131256364215627,0.09838364351944694,0.05691262462603117,0.20796220387974443
relu,8192,13731503,38030013,6742834,463948,0.14699969143476654,0.13946898593082022,0.162590708939777,0.1335888294143509
sub,64,14409438,150379,6614696,477842,0.18486002446601763,0.39265518743256794,0.2739729005258002,0.2428549353532102
sub,128,15695011,196567,6477833,493134,0.27568362232062693,0.37065400793843784,0.1654645382741258,0.17118504418003302
sub,256,13412974,184951,9840294,761032,0.10246688124601473,0.15820640534882957,0.22392385700250456,0.18040369686665003
sub,512,13394808,332272,7731069,529350,0.11728688740179453,0.14623564634782402,0.39238867085372586,0.31056189385334115
sub,1024,13449082,712633,7553987,533375,0.10702950993716094,0.17455286420141922,0.19635375609573186,0.2570181120834517
sub,2048,15096165,2937480,7753103,491692,0.15773995060734128,0.2862900290143179,0.026398096615720543,0.11911767024734936
sub,4096,12502297,10928671,6181849,468354,0.03653188350067462,0.12871603150971217,0.08605344057114656,0.15292523333265481
sub,8192,17608992,46962611,6438271,575049,0.4255525953410737,0.15555036452409912,0.1808589642691599,0.4616656406507714
transpose,64,11877566,143886,8427397,717146,0.04331680183747256,0.08803058790949121,0.11120020050182364,0.06193404933796369
transpose,128,13317638,154746,8741164,1104080,0.2242484590446706,0.19197531147804747,0.3892383234657906,0.46645311758449726
transpose,256,15827869,182957,10647835,858983,0.2563961855818888,0.058173948491278285,0.18288778962294144,0.26199653702165676
