label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
gather,128,18295594,8310,6876814,306645,27,0.3000490157830887,0.3202592936471609,0.15962744062927398,0.2111848719920054,0.4920621170280033
gather,256,14425858,19642,11135218,427484,22,0.25489211995735556,0.3525821439319117,0.24817260867904728,0.3292055888054521,0.0
gather,512,17912707,49642,7109317,306253,25,0.005061965653725746,0.02726242741949918,0.13534389173979056,0.28777113777190155,0.2145806706734845
gather,1024,14041779,247371,7803981,293579,26,0.12871741481342525,0.010059329575928606,0.06386424010273334,0.1396638217101362,0.17625291134445537
gather,2048,11471268,1188066,7262885,261734,21,0.08224449274234762,0.12201064079276235,0.09611941188976868,0.04050635710621611,0.07160274523368501
gather,4096,12076367,7329818,8093291,261381,34,0.048258896737780534,0.009614629828529264,0.06816546158524205,0.030410993304109867,0.6580043119586778
gather,8192,12154840,30922649,7552636,257869,22,0.08869471067943722,0.0020194369471475634,0.15213636642097952,0.0251894078973316,0.11268409604881716
reshape,64,10271428,2546,6663525,170108,21,0.08067736595896108,0.06185624307543794,0.17050825155391494,0.031006442279149272,0.07050116453778216
reshape,128,12922224,4436,7999657,189330,22,0.08679947901368873,0.28879179596260257,0.23958787619103492,0.2001984563973691,0.10340601836232104
reshape,256,17821624,17424,7666056,170373,34,0.16497390251138364,0.3334096846582799,0.17893196106994025,0.12912017385196733,0.42033640373835374
reshape,512,14104570,51492,5333355,179236,21,0.23777027660762476,0.08112993755640341,0.10767902228600602,0.11520208912509408,0.047619047619047616
reshape,1024,12233123,304434,7689598,258501,28,0.10294021334640356,0.010563639819745372,0.2397049867189524,0.552142534088285,0.40563631041430526
reshape,2048,10420922,1388634,5798272,157634,22,0.06369972304976393,0.01430620913588447,0.0761911936440717,0.03918208676685642,0.13478163808693647
reshape,4096,10706505,4861867,6892938,203538,35,0.005608132606274015,0.0020783472665768903,0.13301705157757654,0.28662225189776314,0.6208449973922383
reshape,8192,10442181,19485526,6495463,161547,25,0.0421805263787976,0.0049702028239079045,0.09435094228084535,0.004997300973831938,0.24979991993593592
shape,64,19941126,2790,7382841,152144,20,0.016076218008921367,0.2089814753128454,0.4210133610996963,0.36758948141444164,0.1555427542095638
shape,128,17843774,2145,7005034,149758,27,0.19710874999767777,0.04148888610387257,0.5517415768609345,0.38465131177948675,0.14814814814814814
shape,256,12839148,1581,6647551,111301,23,0.20008742903773566,0.3069612546084055,0.29890960321117654,0.11436009370401794,0.06546536707079773
shape,512,15407617,1289,5154848,104664,28,0.2835799172670634,0.03352117564075764,0.09102261790925646,0.15680785181953974,0.3494181209608539
shape,1024,10331938,1565,8100389,129902,23,0.047112117301724654,0.07485763549850587,0.3271072127302455,0.18512367219438927,0.13776643944275652
shape,2048,11085455,1696,6492395,132093,21,0.09102929440558168,0.20122724576118478,0.017503997021982298,0.2465326345410891,0.19047619047619047
shape,4096,11042067,1500,7046756,112723,23,0.07715985395459844,0.036024901237430434,0.2924469992997176,0.09900017098603994,0.1567630989332169
shape,8192,11630812,1657,6859194,112694,21,0.04643050161946033,0.046768352871538334,0.005489948659230062,0.023394759064845012,0.027063293868263706
squeeze,64,17829131,3536,6021631,185953,20,0.2766523650607974,0.23119356864125215,0.09545560615976972,0.3405090980217297,0.1555427542095638
squeeze,128,15454243,3827,7532994,177489,21,0.23405681221181504,0.3959318018005179,0.18920397917899082,0.2407575187271691,0.18944305707784598
squeeze,256,19259166,3513,7868170,293448,22,0.2468084507648325,0.22837599500297076,0.3228067314532541,0.4876171844522963,0.02585150459058026
squeeze,512,14751187,3182,9123204,221498,25,0.07933957408751922,0.16977562859967288,0.0015774443048011452,0.3810793237485478,0.2628287415189234
squeeze,1024,14073161,2950,8090923,258435,26,0.25232624230666534,0.3925342062682684,0.2850566660278394,0.4108730812845294,0.23395240501146997
squeeze,2048,12719659,2552,6972692,133284,29,0.18326817787953248,0.3224144446640627,0.021298682649155225,0.08086738677126762,0.4932394185047888
squeeze,4096,13948746,3942,5678672,129298,23,0.3392576207774592,0.6970211481050295,0.03384157767796886,0.06338545520984441,0.17842851423995423
squeeze,8192,20094778,4506,10361136,243228,21,0.07171974866801228,0.30563758600299346,0.16770255495307718,0.3362566873845176,0.02664693550105965
unsqueeze,64,13411786,9634,7999459,359392,26,0.10475161594996592,1.1400095067278748,0.04060800661194819,0.02905514826558772,0.021650635094610963
unsqueeze,128,19789920,5288,9955545,596787,29,0.2901333198305394,0.32412541679677415,0.40655127688906845,0.38333923573518924,0.10414944761263274
unsqueeze,256,14952743,5372,9647275,381568,28,0.19225606790389668,0.3139061427142253,0.08806730407491914,0.09674776573848737,0.05391265523477459
unsqueeze,512,15232508,10340,11421930,667462,31,0.24597267752746624,0.38573608565966877,0.3423698093231793,0.40053010547723283,0.25524959269436087
unsqueeze,1024,16916451,17931,8411899,548489,37,0.1125203237988085,0.334659030534532,0.2938775919813539,0.2262893563695661,0.44492101711227916
unsqueeze,2048,15114540,27035,8853691,424491,30,0.28934207076677626,0.7944187629857584,0.26514602778476504,0.21002822380608357,0.20275875100994065
unsqueeze,4096,14759647,38695,8112611,332886,26,0.293433040258152,0.273997472384673,0.31637037721528116,0.10287942718139632,0.2664693550105965
unsqueeze,8192,16040542,77445,8625229,432704,28,0.27206069964551804,0.2992882750050754,0.16619954223413552,0.2782997468777369,0.06185895741317419
add,64,11421979,3582,9128986,579590,69,0.07420726792529227,0.03462721871122294,0.12464016329417273,0.29697307954514723,0.3971805683139016
add,128,19264359,22284,9710428,635863,52,0.1434282490884737,0.34098077573898194,0.19373765078659422,0.44766106698015384,0.2584883272995207
add,256,15943317,40127,12866223,677791,50,0.28316360667129403,0.10940716552846748,0.3735779854190861,0.4048672557885953,0.04966996338993914
add,512,17255547,151025,12036342,570303,50,0.1826964148690469,0.39594935276537224,0.33647760495187984,0.051957360455827176,0.0499989035448394
add,1024,12630243,481749,14867380,755916,48,0.04021876352298377,0.008478793542147051,0.1236444239708196,0.3057496497885872,0.19223944641057042
add,2048,11658466,2152697,9745259,493224,45,0.018043573949578662,0.049763892609146494,0.04602231226986132,0.010299897792725048,0.05510828054942153
add,4096,12243549,10003595,8690442,495005,45,0.04512842095595907,0.004333605323021101,0.14913286961062092,0.03553179545027287,0.23170516553806955
add,8192,11252199,44977140,11145479,700937,38,0.08269408175668246,0.09162622756093237,0.372122251732275,0.5585517328824754,0.1593939372158553
cast,64,16122614,5713,11013968,694087,42,0.2199008572232568,0.4563748050277611,0.27822226921936005,0.17708735594973818,0.23184932069819617
cast,128,12620832,11535,11321703,879077,45,0.10877228639527148,0.23842533192373677,0.2266032658771275,0.40064418566234067,0.25627916877046214
cast,256,13467500,38307,9803825,699710,56,0.22354794289839966,0.7960697405283497,0.09380541195149657,0.3882359687351831,0.34441609860689126
