label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec
sum,4096,11460349,15104090,6365053,395791,0.16152699513201882,0.000797268701911557,0.19970525798724761,0.11635466340246942
nonzero,64,13844290,5879,9526930,938070,0.2007733147240731,0.06918066610305673,0.24509459224065208,0.29980390800123136
nonzero,128,13343094,23252,6898538,565853,0.3951379158650813,0.5507747439239613,0.14532017052228996,0.1454312305185068
nonzero,256,13661220,74943,8529532,825311,0.3512767943864478,0.5852210514278811,0.3705189907950406,0.49964140504292087
nonzero,512,13555405,177062,6534293,535263,0.4301947529225599,0.4052556853517336,0.10836545773683469,0.10012781023141692
nonzero,1024,12721196,831552,8301904,611254,0.2175839727768589,0.38551578233565886,0.22042767875347732,0.16882371079289615
nonzero,2048,11359777,3618774,5914955,480479,0.141053990748273,0.13207383883907034,0.10254030729596085,0.006011476748052856
nonzero,4096,10417578,11357873,6608962,515908,0.033871141605423635,0.2950906448026753,0.11210954979794646,0.15348553930407688
pow,64,16476963,4050,7448685,598939,0.3108768929936625,0.24907661134209788,0.17448746634329626,0.22630571339791344
pow,128,17098884,10844,7519757,548599,0.27831681302598305,0.2736444772766894,0.05618385230145988,0.08548997634371615
pow,256,13571517,38739,9072105,497537,0.11171409424289801,0.28845942412427344,0.23578527211642203,0.18643490782337327
pow,512,17029819,157613,7433253,454992,0.2851279055670853,0.73367221485937,0.010472859615861252,0.10630038445303362
pow,1024,13270924,378126,7843789,475668,0.1156407988515545,0.11962147958584053,0.22088362464189024,0.09910565965748978
pow,2048,10763096,1831493,6942724,482093,0.03369822534495202,0.15860087558328845,0.04083373840039989,0.09155984800022876
pow,4096,11062805,8448365,6056367,399499,0.16537622470408028,0.11318514570751552,0.06852649075743679,0.022068984644967694
sqrt,64,14735650,4363,9257927,745247,0.1462970880919778,0.27623660596155203,0.24429925478416326,0.42384746571641047
sqrt,128,14781715,15706,8339965,741749,0.2470817954231693,0.29177083770331375,0.29060586297681446,0.18362293098521418
sqrt,256,14273418,42374,8437780,554606,0.21886077608442595,0.1719047781613375,0.275446264293206,0.2645129554525311
sqrt,512,14945268,267440,7642754,487916,0.08489550615648596,0.5655975542372875,0.05922604618447964,0.059490958726520535
sqrt,1024,11314364,587046,6643220,564638,0.14547966364913026,0.11371169764810601,0.07208953696592044,0.18352086598816822
sqrt,2048,10231113,2712655,6431954,439664,0.022822901744593015,0.007597798382535856,0.13424080622977247,0.15011391691986492
sqrt,4096,10222319,9742850,6163148,434971,0.06045432585643779,0.14703381684208966,0.1440135069244556,0.17422443136622015
clip,64,11336798,2667,6531288,460042,0.08595549898093954,0.13187662346347323,0.19089382857163437,0.10659987496057115
clip,128,13367416,12729,6637825,525993,0.15358986800849414,0.5970570786606848,0.1294005614903317,0.29548294030565975
clip,256,12029797,30687,6693129,510373,0.16783328249045282,0.1676876942838585,0.15577596939516578,0.01616942800706123
clip,512,12828031,131698,7194079,387070,0.19818224994801534,0.018210775926615987,0.35514660211809623,0.022588193487689336
clip,1024,11549366,458097,5148836,393440,0.1805719835410273,0.12423959769487425,0.011569797877594212,0.019719660829459765
clip,2048,10877311,1873277,6349286,499530,0.05210765912556875,0.01021134430635646,0.08328418610086587,0.08427580959197067
clip,4096,11066987,7984138,6535439,480214,0.15622249515373046,0.005135691250681557,0.1468276224865501,0.14741023175640983
leaky_relu,64,14416838,3836,7123907,703535,0.282612225287937,0.5595494262037498,0.16295330950629697,0.48514408927994135
leaky_relu,128,14512168,8362,6877606,500601,0.46539324962495154,0.014548166850138888,0.2414576400196129,0.3681536511362733
leaky_relu,256,14070086,36821,7969076,804865,0.23730036405317687,0.594002615941479,0.4707235684551814,0.3937699678388181
leaky_relu,512,14189321,149052,7610486,620657,0.41534516508500324,0.22584870771775178,0.3203655523211764,0.3914673102317906
leaky_relu,1024,11830637,514309,7234089,443875,0.12469538612394464,0.02391022304174047,0.24042707377988326,0.21602568504656586
leaky_relu,2048,10594504,2232458,5367437,403358,0.004281412532701906,0.09968867858201358,0.05068488968961194,0.025720161853117984
leaky_relu,4096,10530373,8608158,5957261,436775,0.02136391943685673,0.1271774323851495,0.10371081000995591,0.11976408086762708
softmax,64,15509714,45471,18759305,1585105,0.25694028068375313,0.18803118722509107,0.3461622816970035,0.1503500974832812
softmax,128,16550398,267956,17926383,1548360,0.17720933673615322,0.3156506860399225,0.17724421235900628,0.07067464347631547
softmax,256,15523931,1043840,17141804,1538286,0.2963365744720664,0.3900815212875372,0.36406772528231846,0.08341564859238072
softmax,512,16401042,3477126,18537553,1624197,0.1866200663672651,0.36602598522982194,0.28193322254274455,0.14322296395471892
softmax,1024,12380392,8334710,14478636,1719273,0.15628204198435758,0.017753611560172657,0.09520126451429431,0.2588296976041589
softmax,2048,11247149,33830074,14023066,1448057,0.010520768509492212,0.01712639859846139,0.0899739975218181,0.003352990850454004
softmax,4096,11001228,134443047,13779854,1467985,0.022995277429264563,0.028637186102964802,0.11243674906912307,0.02126852308497808
tanh,64,14602334,50047,8506582,593514,0.19814312813584115,0.49965067795506934,0.07761697905840997,0.15944248664659105
tanh,128,12788475,136241,6892175,430992,0.2551140782003774,0.09273130099563892,0.2596437019876818,0.13808553940786578
tanh,256,14269821,863222,8845370,897779,0.19111165095285051,0.5072099806829026,0.1562267569945084,0.363830774791863
tanh,512,15963157,3095708,7272045,515719,0.5944154784586316,0.6310276341145554,0.2787971130517012,0.08851402808366117
tanh,1024,11080352,7622676,6466277,399481,0.09532213961341882,0.012805788450458853,0.05481294572590962,0.051982279489032814
tanh,2048,11152860,30136982,6250108,474142,0.14815168187678915,0.0031045986835623557,0.17394487354550056,0.1394777105422718
tanh,4096,9932220,118261735,6320931,481778,0.01633056501757501,0.0016198471830133213,0.18384297486592432,0.17341786043149998
maxpool,64,14072207,3593,9642391,907347,0.09184291508680524,0.3121489446131459,0.14927484428302137,0.2701288732841862
maxpool,128,13126250,12598,8184398,1128507,0.14990753813007285,0.30995253205061857,0.20018901872060033,0.36804577832260116
maxpool,256,15308524,32477,9109946,688890,0.3617364605981462,0.1730230944401568,0.26161326665850787,0.011849294011168817
maxpool,512,13109605,103778,11544033,795998,0.11581651832160837,0.08276198937074804,0.20500409948054307,0.18083640420576821
maxpool,1024,11906150,590469,8632034,840716,0.1305083100432472,0.19589423770536793,0.08459657858483022,0.16969744260698602
maxpool,2048,11318531,2824317,8665908,829918,0.08304887421602895,0.012890343241836029,0.2102632898150383,0.09783432763207545
maxpool,4096,12613929,11164185,8903196,815356,0.0835193849405386,0.011119817755968207,0.10453270789807213,0.19246502671584845
exp,64,11974240,19918,8151672,565809,0.08080575622422281,0.1247284244214104,0.0973636562820509,0.5044250969448276
exp,128,14334614,91706,6769563,565230,0.15338225517778434,0.4334455063599759,0.20596202326049257,0.02107455911972829
exp,256,14221369,337064,9236863,458126,0.23572729224232528,0.45055785171434076,0.10508521147329608,0.19522951599090238
exp,512,12485321,1235935,7408578,685423,0.24610719197612677,0.4168115039321189,0.28621647097123487,0.4133424411827303
exp,1024,12287433,3703345,6445470,559372,0.06121480369704293,0.0054192106019167715,0.1949312606658031,0.3325766528941853
exp,2048,10711254,14733675,6992073,591707,0.17027580245033097,0.00731755610252145,0.038856560931231285,0.14070571368457063
exp,4096,10944296,58475068,6207380,494511,0.14185562223543993,0.018894917119031757,0.11843257147142366,0.1561202006331734
log,64,16010050,43736,6752384,640602,0.2716126420252359,0.05578877317361008,0.19742798820337648,0.5041912665999674
log,128,13238406,174055,7509044,604842,0.19911396994224342,0.11295069291412468,0.4962493043956841,0.5237496673239384
log,256,14958870,1070420,7978675,580246,0.3921538580603737,0.5606213353279732,0.38113692774498165,0.26136794132989305
log,512,13102676,2515705,7149247,549683,0.2677618367285412,0.01852336415998378,0.3624541927139727,0.2759118030394857
log,1024,11468766,9752899,5460678,455940,0.2114450680459027,0.015272579847400899,0.16444811706212875,0.2691874753517752
log,2048,11144792,39169700,6180390,465680,0.1345096167999199,0.009755605935884846,0.14217838151316886,0.15217571612085917
log,4096,11196024,156543580,5469313,385482,0.10859770273909225,0.019282805768770738,0.15479672919519089,0.009820859236112369
pad,64,17343954,15553,11956797,1045896,0.27283667773090237,0.5528688978649007,0.15775006197567112,0.22261960177009496
pad,128,13563007,33663,10864506,1177552,0.19677340925857273,0.1236006499415467,0.17339414428729577,0.6009073835263377
pad,256,14974703,209271,7295222,1066391,0.17178137924149686,0.36707909667367483,0.15025733332087388,0.31681401050230296
pad,512,15682971,810923,8434470,791493,0.38279047100040825,0.4589184860685603,0.04121899861454907,0.14825641880329027
pad,1024,13425451,1811582,9072231,1145896,0.112339341156863,0.028373807900910163,0.03310021734464674,0.2264537809106088
pad,2048,10205673,7583769,7582311,732625,0.0019028701323213076,0.039930055980787964,0.1176295363945575,0.022665091646113463
pad,4096,10605927,28897143,7004592,732912,0.01463365217496623,0.05971528527233085,0.13545576265567158,0.010834430605175074
instance_norm,64,15909285,125668,14501735,1430367,0.15009514783857358,0.022261327958862,0.37301407342110177,0.2682365632634233
instance_norm,128,12369976,529684,13614277,1588666,0.06403751060202682,0.07647784104778774,0.2305800183200145,0.4847111656179436
instance_norm,256,16941572,3252950,13110393,1131890,0.25221021547540584,0.5167097288278778,0.08978147492112472,0.019538700697688337
instance_norm,512,11575472,7319740,12196444,1160326,0.0678572557927811,0.011561653018159685,0.16758971842275946,0.014234397693847874
instance_norm,1024,12546696,29025754,11282889,1350444,0.1377163989257578,0.005812122624782585,0.05567741101621899,0.2494697632014163
instance_norm,2048,12291817,113112930,12101110,1214559,0.11297878555041693,0.01076138031685722,0.16031391578337584,0.09142457067890519
instance_norm,4096,11570864,451251147,11544742,1157067,0.020193952305795886,0.006965485631003876,0.11514763633214241,0.009657496393884213
conv,64,12297524,140390337,16066039,2344347,0.03650178773063018,0.05585910441191964,0.09103521757316352,0.18000554411771788
conv,128,12033300,565089389,15395478,2214258,0.03771078874869232,0.004042960212000071,0.08286905629975494,0.1211337848099778
conv,256,12702167,2322537883,15246860,2163450,0.11068409284702262,0.0005757462871542501,0.05472165745875338,0.04813309288565292
conv,512,12365832,9437955522,14785618,2395818,0.056959496520274294,0.0004434620119868144,0.1261810882591572,0.20549772640766406
conv,1024,12185704,38108076132,14988214,2084428,0.01541856067018835,0.0007868114359780704,0.09015652849934729,0.014058898235921104
conv,2048,12499070,152944396376,15403310,2176923,0.1145690637626866,0.00011361532492775701,0.1000934445155209,0.06663349883968017
conv,4096,12089467,613259732309,15484071,2497938,0.033925897428901695,0.0005491807387050958,0.14482350340457198,0.27764933921685575
matmul,64,12975152,386752,6912402,512703,0.14669425682310927,0.19631107416247032,0.26569458756304515,0.1823870700257041
matmul,128,14251994,2525543,8269906,511895,0.17485796759843142,0.051268437303249946,0.272239605366895,0.21681945438239625
matmul,256,14348095,24976182,8609519,578809,0.19124318089020173,0.10163445062901483,0.28674535811163243,0.20817707060607468
matmul,512,11222184,169272190,7072475,540566,0.015983924531233575,0.008459120817104038,0.148886820554934,0.1333859576859652
matmul,1024,11551131,2794020247,6374909,472224,0.02733783218017522,0.0016461522387225137,0.06668119623884398,0.09935911824703447
matmul,2048,11034423,21846158306,6606458,522921,0.03043382494997343,0.01250991201693281,0.0967974874757676,0.22568218486670585
gemm,64,19155065,351355,8836365,655590,0.32176189169911135,0.27751453644182933,0.3808513166482638,0.5836448713791935
gemm,128,11970573,2602187,7721656,622255,0.18924867180074134,0.18482475356337008,0.06613672999649547,0.24546630096788127
gemm,256,11757631,20383994,6383674,482755,0.17534725302959908,0.05616045872168028,0.1495792033393118,0.1696154627580221
gemm,512,11329179,163285774,7394979,581713,0.07393691272570367,0.005502215707403331,0.17428497240616397,0.29019883667279656
gemm,1024,14990164,1323243050,7667337,490997,0.4157848928268717,0.0006207924690969832,0.39902806457368006,0.21629608690701885
gemm,2048,11165209,10694771731,6257925,516604,0.06956209937768436,0.00018137398269455713,0.19248615944438538,0.27210349649907134
gemm,4096,11011823,86374211942,6898401,519190,0.03248678118053606,0.0008011563203491875,0.1831154600461185,0.26715237556707505
batch_norm,64,20583881,2659971,92069146,8704630,0.13102087463764042,0.09697839239169515,0.020321904167714188,0.03106969484500948
